dane,bonus
105001000001,9
105001000043,5
105001000108,0
105001000132,0
105001000141,0
105001000175,4
105001000205,5
105001000256,7
105001000353,0
105001000396,7
105001000418,6
105001000485,0
105001000566,7
105001000621,10
105001000795,0
105001000809,6
105001000841,0
105001000868,6
105001000876,5
105001000931,0
105001000981,7
105001000990,7
105001001023,5
105001001121,8
105001001155,7
105001001198,6
105001001236,10
105001001252,9
105001001279,6
105001001317,0
105001001368,2
105001001473,4
105001001490,0
105001001562,0
105001001635,0
105001001651,0
105001001660,5
105001001686,12
105001001791,9
105001001805,10
105001001848,0
105001001881,0
105001002003,0
105001002011,0
105001002020,0
105001002038,8
105001002071,0
105001002101,7
105001002119,0
105001002135,10
105001002305,6
105001002348,6
105001002356,9
105001002461,0
105001002470,7
105001002488,6
105001002496,0
105001002526,4
105001002780,11
105001002798,0
105001002895,0
105001002976,6
105001003123,0
105001003131,4
105001003221,8
105001003271,0
105001003280,0
105001003298,9
105001003387,6
105001003425,0
105001003441,10
105001003450,0
105001004472,0
105001004791,0
105001005291,0
105001005339,7
105001005347,7
105001005380,0
105001005410,0
105001005495,8
105001005525,4
105001005878,6
105001006068,0
105001006092,0
105001006181,4
105001006246,5
105001006483,0
105001006718,5
105001006980,0
105001007111,7
105001007188,10
105001007218,10
105001007421,0
105001007439,0
105001007889,8
105001007978,2
105001008249,6
105001008389,6
105001008451,6
105001008486,0
105001009652,8
105001009695,8
105001009709,5
105001009865,0
105001010111,0
105001010367,0
105001010448,0
105001010588,11
105001010855,0
105001011011,7
105001011061,0
105001011070,6
105001011088,7
105001011363,5
105001011461,7
105001011606,8
105001011631,6
105001011690,4
105001011711,5
105001011886,10
105001012092,6
105001012106,0
105001012165,4
105001012696,7
105001012700,4
105001013013,9
105001013072,0
105001013145,10
105001013340,9
105001013439,0
105001013447,5
105001013633,6
105001014052,5
105001014397,8
105001014851,10
105001015091,6
105001015148,4
105001015172,7
105001015211,5
105001015229,8
105001015831,9
105001016420,8
105001017132,6
105001017876,5
105001017965,0
105001018759,6
105001019011,9
105001019062,0
105001019089,8
105001019143,0
105001019194,4
105001019305,4
105001019330,7
105001019429,6
105001019453,8
105001019534,6
105001019674,7
105001019798,4
105001019925,6
105001020028,0
105001020052,0
105001020273,6
105001021199,8
105001021547,9
105001021636,7
105001021873,8
105001022101,8
105001023965,4
105001024073,6
105001025763,5
105001025771,6
105001025780,7
105001025798,8
105001025984,12
105001025992,2
105001026000,0
105001026131,0
205001001389,16
205001001672,5
205001001966,15
205001002199,4
205001002768,19
205001006119,9
205001006224,16
205001006232,7
205001006526,6
205001007735,2
205001009797,9
205001009916,14
205001010264,5
205001010281,7
205001011031,7
205001012534,5
205001014308,12
205001018745,4
205001019318,7
105001025844,16
205001019989,11
205001021452,9
305001004854,8
305001007594,10
305001015287,10
305001015686,0
305001016542,10
305001018022,6
305001018839,0
305001019690,8
305001022232,8
305001022640,6
